customerID,tenure,MonthlyCharges,Churn_Probability,Cluster
9470-XCCEM,35,89.65,0.07,3
6519-CFDBX,2,45.4,0.28,0
3902-MIVLE,63,75.7,0.0,1
0409-WTMPL,58,110.65,0.16,1
8763-KIAFH,27,20.55,0.02,0
3669-WHAFY,71,115.15,0.0,1
3055-VTCGS,63,58.55,0.01,2
3144-KMTWZ,71,93.25,0.15,1
7279-BUYWN,41,113.2,0.41,1
7156-MHUGY,13,90.5,0.87,3
7198-GLXTC,2,79.0,0.91,3
2007-QVGAW,68,19.35,0.03,2
5207-PLSTK,1,48.75,0.13,0
2307-FYNNL,65,109.05,0.07,1
5605-XNWEN,72,25.0,0.01,2
2155-AMQRX,28,54.9,0.02,3
6181-AXXYF,72,24.75,0.0,2
5091-HFAZW,2,91.15,0.2,3
0516-VRYBW,18,20.15,0.02,0
2519-LBNQL,60,104.35,0.25,1
8623-ULFNQ,26,66.05,0.08,3
8380-PEFPE,1,71.65,0.9,3
5687-DKDTV,4,20.35,0.67,0
1568-LJSZU,68,92.2,0.0,1
7530-HDYDS,38,84.25,0.75,3
7789-HKSBS,42,105.2,0.11,1
7416-CKTEP,57,19.6,0.01,2
2586-CWXVV,54,30.4,0.18,2
3096-IZETN,12,78.1,0.8,3
2348-KCJLT,44,61.5,0.1,2
8401-EMUWF,42,69.4,0.0,2
4193-IBKSW,72,24.75,0.0,2
5377-NDTOU,71,91.05,0.0,1
5922-ABDVO,19,89.65,0.79,3
2474-LCNUE,23,73.65,0.08,3
0839-QNXME,30,19.4,0.0,0
3506-OVLKD,35,26.2,0.12,2
9172-ANCRX,10,98.7,0.98,3
6650-VJONK,1,43.85,0.06,0
2178-PMGCJ,22,69.7,0.06,3
7492-TAFJD,7,38.55,0.03,0
2773-MADBQ,36,53.1,0.0,2
6016-LVTJQ,34,20.65,0.03,0
7860-KSUGX,72,64.45,0.02,1
8966-KZXXA,36,25.1,0.0,2
6910-HADCM,1,76.35,0.99,3
4816-LXZYW,23,79.15,0.8,3
9606-PBKBQ,32,85.0,0.83,3
5149-QYTTU,71,95.15,0.07,1
2070-XYMFH,23,79.35,0.15,3
2085-BOJKI,17,96.65,0.43,3
0817-HSUSE,1,75.5,0.2,3
5442-PPTJY,12,19.7,0.0,0
1927-QEWMY,72,20.5,0.0,2
1663-MHLHE,1,19.2,0.24,0
5663-QBGIS,72,98.35,0.16,1
4450-MDZFX,60,74.35,0.17,1
6701-DHKWQ,61,51.35,0.01,2
7554-AKDQF,6,45.65,0.09,0
3536-IQCTX,32,85.3,0.77,3
4911-BANWH,31,86.55,0.78,3
8496-EJAUI,19,73.85,0.74,3
0794-YVSGE,72,20.3,0.0,2
5423-BHIXO,32,54.2,0.08,2
6908-VVYHM,65,90.65,0.08,1
2959-EEXWB,45,50.9,0.13,2
1839-UMACK,42,25.05,0.12,2
3030-YDNRM,8,74.85,0.22,3
7321-KKSDU,32,20.5,0.0,0
3402-XRIUO,22,63.55,0.04,3
3132-TVFDZ,57,44.85,0.73,2
8286-AFUYI,1,47.95,0.18,0
8080-DDEMJ,1,45.1,0.84,0
8356-WUAOJ,1,45.0,0.23,0
6365-MTGZX,24,96.0,0.81,3
1349-WXNGG,1,20.05,0.09,0
8058-DMYRU,54,90.05,0.23,1
9350-ZXYJC,4,25.3,0.04,0
6990-YNRIO,65,108.65,0.11,1
8958-JPTRR,56,24.3,0.03,2
6959-GQEGV,45,75.95,0.05,1
3173-WSSUE,71,19.7,0.0,2
1265-HVPZB,59,66.4,0.27,1
4115-UMJFQ,69,35.75,0.19,2
7369-TRPFD,19,18.8,0.0,0
1098-KFQEC,55,19.4,0.0,2
7190-XHTWJ,38,19.3,0.0,2
0621-TWIEM,10,45.55,0.39,0
3537-RYBHH,47,67.45,0.08,2
2485-ITVKB,2,35.1,0.89,0
3669-OYSJI,1,46.2,0.83,0
1612-EOHDH,1,45.15,0.83,0
6702-OHFWR,1,43.3,0.88,0
5296-BFCYD,46,20.1,0.0,2
4510-PYUSH,38,57.15,0.69,2
9359-JANWS,65,58.9,0.11,2
7517-SAWMO,19,73.2,0.75,3
4143-HHPMK,52,85.35,0.72,1
3279-DYZQM,71,19.45,0.0,2
7054-LGEQW,1,45.95,0.79,0
0523-VNGTF,52,50.5,0.08,2
9575-IWCAZ,6,25.1,0.03,0
7105-MXJLL,26,60.7,0.16,3
7064-FRRSW,48,99.0,0.19,1
7940-UQQUG,64,104.4,0.04,1
0923-PNFUB,3,83.75,0.42,3
3961-SXAXY,1,44.05,0.06,0
7010-BRBUU,72,24.1,0.0,2
3566-HJGPK,1,45.55,0.3,0
3062-ICYZQ,51,93.8,0.12,1
9938-PRCVK,41,19.7,0.0,2
0973-KYVNF,72,70.65,0.0,1
5129-HHMZC,43,86.45,0.01,1
9637-CDTKZ,72,114.1,0.0,1
3946-JEWRQ,47,95.2,0.27,1
7873-CVMAW,72,88.55,0.0,1
0463-WZZKO,3,20.75,0.02,0
3494-JCHRQ,1,70.05,0.8719761904761906,3
6474-FVJLC,2,86.0,1.0,3
4524-QCSSM,26,44.65,0.13,0
5832-EXGTT,29,60.2,0.04,3
8840-DQLGN,35,100.5,0.66,1
2039-JONDJ,27,55.45,0.02,3
7217-JYHOQ,24,70.3,0.05,3
6695-FRVEC,67,60.4,0.01,1
4547-LYTDD,16,72.65,0.33,3
9894-QMIMJ,23,55.8,0.04,3
8069-YQQAJ,14,31.1,0.14,0
6770-XUAGN,1,21.0,0.88,0
4193-ORFCL,1,45.1,0.42,0
1636-NTNCO,4,50.95,0.15,0
3466-WAESX,16,69.1,0.08,3
9281-PKKZE,46,43.95,0.14,2
3638-VBZTA,68,86.5,0.01,1
7459-IMVYU,38,69.95,0.03,3
7776-QWNFX,30,50.4,0.62,2
6689-TCZHQ,5,78.95,0.62,3
8563-OYMQY,17,90.95,0.39,3
0754-EEBDC,4,19.9,0.01,0
5777-ZPQNC,12,20.15,0.01,0
1951-IEYXM,72,90.6,0.0,1
3318-NMQXL,3,92.0,0.29,3
3143-ILDAL,56,94.45,0.74,1
1022-RKXDR,41,24.85,0.0,2
2361-FJWNO,40,36.0,0.06,2
2272-UOINI,7,78.5,0.39,3
8232-UTFOZ,69,19.95,0.0,2
3750-YHRYO,7,20.65,0.01,0
6637-KYRCV,5,30.5,0.37,0
5668-MEISB,72,106.1,0.02,1
0129-QMPDR,44,20.5,0.0,2
7188-CBBBA,65,95.5,0.07,1
5356-CSVSQ,3,64.6,0.18,3
3221-CJMSG,24,51.1,0.03,0
4720-VSTSI,44,84.8,0.8,1
3219-JQRSL,72,89.1,0.02,1
2801-NISEI,24,54.95,0.09,3
3946-MHCZW,1,50.9,0.82,0
4623-ZKHLY,22,20.45,0.1,0
6732-VAILE,70,85.95,0.0,1
8201-AAXCB,25,60.35,0.04,3
7696-CFTAT,37,19.8,0.01,2
1845-CSBRZ,22,85.35,0.33,3
2123-VSCOT,59,72.1,0.01,1
6651-AZVTJ,49,99.8,0.56,1
4566-GOLUK,47,107.35,0.7,1
2484-DGXPZ,31,19.55,0.68,0
2018-QKYGT,1,81.05,0.3,3
2792-VPPET,3,20.5,0.01,0
7409-JURKQ,53,111.8,0.05,1
3247-MHJKM,1,20.2,0.31783333333333313,0
1964-SVLEA,20,19.7,0.01,0
4587-NUKOX,3,79.1,0.7,3
7297-DVYGA,51,19.85,0.0,2
2239-CGBUZ,51,60.5,0.0,2
0854-UYHZD,13,19.55,0.0,0
7243-LCGGZ,1,20.9,0.6414999999999997,0
8267-KFGYD,1,21.05,0.2,0
4890-VMUAV,63,71.5,0.01,1
9261-WDCAF,3,54.65,0.24,0
3764-MNMOI,46,19.2,0.01,2
7442-YGZFK,1,49.8,0.25,0
0420-BWTPW,8,25.5,0.67,0
8229-BUJHX,71,20.5,0.0,2
7449-HVPIV,55,90.4,0.24,1
5504-WSIUR,70,90.25,0.01,1
8183-ONMXC,2,80.75,0.97,3
8466-PZBLH,67,104.6,0.06,1
9614-RMGHA,65,91.85,0.37,1
8735-IJJEG,14,50.2,0.06,0
0564-MUUQK,20,95.5,0.15,3
5054-IEXZT,1,75.35,0.92,3
5834-ASPWA,1,75.45,0.83,3
0701-RFGFI,49,95.4,0.27,1
0019-EFAEP,72,101.3,0.01,1
5619-PTMIK,46,53.1,0.06,2
3737-XBQDD,24,84.85,0.25,3
5882-CMAZQ,5,34.25,0.16,0
5846-QFDFI,33,88.6,0.14,3
4445-KWOKW,42,60.15,0.0,2
3511-APPBJ,23,99.95,0.08,3
7967-HYCDE,8,70.7,0.17,3
2430-RRYUW,66,54.8,0.03,2
3948-XHGNA,24,49.55,0.67,0
3723-BFBGR,24,54.8,0.23,3
0565-IYCGT,69,78.6,0.63,1
5447-WZAFP,53,100.3,0.14,1
5110-CHOPY,60,53.6,0.12,2
5445-UTODQ,7,81.1,0.75,3
4425-OWHWB,20,19.35,0.0,0
7892-QVYKW,23,85.6,0.2,3
9675-ICXCT,72,80.8,0.02,1
1024-VRZHF,11,74.95,0.74,3
4703-MQYKT,21,19.6,0.0,0
9497-QCMMS,1,93.55,1.0,3
5692-ICXLW,31,90.7,0.24,3
0602-DDUML,57,69.75,0.02,1
2208-MPXIO,45,20.0,0.0,2
1960-UYCNN,10,95.25,0.3,3
0348-SDKOL,58,102.1,0.69,1
3190-FZATL,14,19.95,0.01,0
7336-RLLRH,27,80.85,0.01,3
4373-MAVJG,14,90.9,0.46,3
8901-HJXTF,12,29.2,0.72,0
7710-JSYOA,69,93.3,0.05,1
5419-KLXBN,25,89.15,0.74,3
3424-NMNBO,58,108.85,0.75,1
9885-MFVSU,35,46.35,0.0,2
4514-GFCFI,16,84.75,0.96,3
0607-MVMGC,45,78.75,0.01,1
3365-SAIGS,17,83.55,0.18,3
9828-AOQLM,1,45.7,0.77,0
8022-BECSI,22,19.6,0.0,0
8000-REIQB,1,69.95,0.97,3
9993-LHIEB,67,67.85,0.0,1
0266-CLZKZ,67,105.65,0.04,1
7615-ESMYF,2,44.6,0.83,0
3858-VOBET,23,74.95,0.84,3
7020-OZKXZ,9,75.5,0.22,3
3977-QCRSL,5,20.15,0.01,0
0017-DINOC,54,45.2,0.0,2
1447-PJGGA,57,95.25,0.68,1
8565-CLBZW,24,89.85,0.8,3
9139-WQQDY,49,100.45,0.73,1
0224-HJAPT,5,47.15,0.77,0
8086-OVPWV,2,80.2,0.53,3
9430-FRQOC,4,87.1,0.84,3
7639-OPLNG,70,79.25,0.0,1
3074-GQWYX,5,75.9,0.94,3
1492-QGCLU,53,85.7,0.09,1
6845-RGTYS,47,98.75,0.86,1
7328-OWMOM,31,20.1,0.0,0
4418-LZMSV,13,61.8,0.07,3
5155-AZQPB,28,49.9,0.01,0
8861-HGGKB,10,86.45,0.82,3
1087-GRUYI,38,20.4,0.0,2
7065-YUNRY,1,45.3,0.76,0
7694-VLBWQ,67,104.1,0.69,1
2546-KZAAT,52,75.4,0.03,1
0181-RITDD,62,108.15,0.01,1
5989-PGKJB,16,86.25,0.28,3
4795-KTRTH,5,81.0,0.85,3
8272-ONJLV,12,95.7,0.12,3
1488-PBLJN,72,116.85,0.0,1
0308-GIQJT,71,105.75,0.14,1
3778-FOAQW,24,20.15,0.0,0
4452-ROHMO,15,19.6,0.0,0
6481-OGDOO,67,90.6,0.08,1
3090-LETTY,2,60.95,0.16,3
5349-AZPEW,5,25.05,0.16,0
3753-TSEMP,15,88.15,0.84,3
8305-VHZBZ,1,20.2,0.7983333333333335,0
9720-JJJOR,41,60.3,0.0,2
8100-HZZLJ,43,63.95,0.04,2
8775-ERLNB,1,74.3,0.3,3
8309-IEYJD,1,70.6,0.22,3
9172-JITSM,26,90.8,0.8,3
6298-QDFNH,22,79.35,0.77,3
7398-HPYZQ,71,90.55,0.0,1
3546-GHEAE,7,19.45,0.01,0
7361-YPXFS,28,64.45,0.03,3
6557-BZXLQ,16,69.65,0.14,3
2550-QHZGP,7,19.5,0.0,0
7519-JTWQH,69,110.5,0.04,1
2538-OIMXF,1,24.7,0.17,0
8543-MSDMF,3,77.4,0.4,3
9961-JBNMK,21,96.8,0.85,3
1170-SASML,69,85.4,0.11,1
4872-JCVCA,71,47.6,0.02,2
5346-BZCHP,69,19.4,0.0,2
2038-LLMLM,48,103.85,0.17,1
6173-ITPWD,47,83.35,0.77,1
9734-UYXQI,2,49.4,0.86,0
1216-BGTSP,45,108.45,0.08,1
4138-NAXED,51,81.0,0.17,1
2189-UXTKY,22,79.2,0.69,3
0744-BIKKF,72,86.65,0.0,1
7483-IQWIB,37,92.95,0.23,1
5248-KWLAR,71,90.35,0.0,1
4958-GZWIY,7,48.7,0.76,0
7996-MHXLW,66,25.15,0.0,2
7833-PKIHD,51,76.4,0.01,1
7061-OVMIM,30,19.55,0.01,0
5153-RTHKF,34,85.35,0.1,3
1852-QSWCD,64,24.8,0.0,2
4832-VRBMR,65,103.15,0.12,1
9079-LWTFD,47,100.75,0.2,1
6356-ELRKD,1,95.6,0.94,3
8624-GIOUT,49,59.75,0.6,2
3392-EHMNK,67,94.1,0.06,1
5986-WWXDV,39,19.35,0.0,2
3061-BCKYI,14,19.9,0.01,0
6179-GJPSO,43,108.15,0.3,1
7901-TBKJX,56,101.05,0.3,1
7228-PAQPD,14,59.1,0.05,3
3177-LASXD,1,71.35,0.94,3
7746-QYVCO,16,55.85,0.03,3
5804-HYIEZ,70,106.05,0.07,1
9919-FZDED,72,84.1,0.01,1
5934-TSSAU,23,75.3,0.12,3
3486-KHMLI,21,24.7,0.03,0
4897-QSUYC,1,20.15,0.9123333333333334,0
1084-UQCHV,1,69.75,0.94,3
8290-YWKHZ,32,93.2,0.67,3
2955-BJZHG,17,80.85,0.86,3
3806-DXQOM,4,33.65,0.8,0
6784-XYJAE,36,55.8,0.07,2
3933-DQPWX,50,39.7,0.07,2
6661-EIPZC,48,29.5,0.02,2
8957-THMOA,50,20.15,0.0,2
2251-PYLPB,72,79.55,0.0,1
5555-RNPGT,10,24.8,0.11,0
1057-FOGLZ,18,19.65,0.01,0
9300-RENDD,1,79.95,0.86,3
0761-AETCS,1,19.3,0.06,0
8087-LGYHQ,9,94.05,0.37,3
4137-BTIKL,2,90.75,0.2,3
2190-BCXEC,40,78.85,0.2,3
6227-FBDXH,69,99.5,0.05,1
2153-MREFK,37,99.2,0.72,1
2911-WDXMV,18,80.55,0.11,3
7206-PQBBZ,11,70.2,0.62,3
3106-ULWFW,8,85.2,0.91,3
0925-VYDLG,3,75.25,0.76,3
4547-FZJWE,55,59.45,0.05,2
7422-WNBTY,33,93.35,0.25,3
0842-IWYCP,46,44.95,0.03,2
3521-HTQTV,34,26.1,0.01,2
3744-ZBHON,3,20.2,0.13,0
3373-DIUUN,30,21.25,0.0,0
8383-SGHJU,33,59.4,0.0,3
7607-QKKTJ,45,95.0,0.03,1
7707-PYBBH,40,61.9,0.04,2
8984-HPEMB,71,118.65,0.0,1
4349-GFQHK,1,54.35,0.83,0
4139-DETXS,72,64.45,0.01,1
9779-DPNEJ,22,80.15,0.26,3
9805-FILKB,46,20.2,0.0,2
5793-YOLJN,55,21.0,0.0,2
0673-IGUQO,1,20.45,0.06,0
4123-FCVCB,12,75.85,0.15,3
8819-IMISP,31,80.45,0.42,3
7802-EFKNY,5,24.95,0.44,0
8311-UEUAB,67,75.5,0.06,1
5858-EAFCZ,1,44.45,0.32,0
8035-BUYVG,40,42.35,0.64,2
1163-ONYEY,41,74.55,0.05,3
9787-XVQIU,1,75.3,0.79,3
8945-MUQUF,51,94.8,0.64,1
5656-MJEFC,42,48.15,0.01,2
6082-OQFBA,23,19.65,0.0,0
8051-HJRLT,1,70.55,0.8333333333333333,3
8974-OVACP,1,20.15,0.14383333333333334,0
4010-YLMVT,56,106.6,0.1,1
1379-FRVEB,15,91.0,0.19,3
8612-GXIDD,12,25.4,0.03,0
6288-CHQJB,54,69.95,0.01,1
8160-HOWOX,7,66.85,0.2,3
3023-GFLBR,33,86.15,0.79,3
6648-INWPS,16,20.15,0.02,0
4223-BKEOR,21,64.85,0.02,3
4079-VTGLK,30,74.85,0.14,3
1763-WQFUK,3,50.5,0.04,0
1391-UBDAR,11,72.9,0.17,3
8894-JVDCV,62,115.05,0.0,1
2023-VQFDL,18,19.0,0.09,0
1345-GKDZZ,6,19.55,0.02,0
2014-MKGMH,46,101.1,0.07,1
5628-FCGYG,21,84.1,0.42,3
2560-WBWXF,68,24.15,0.0,2
0248-IPDFW,1,50.1,0.23,0
7978-DKUQH,25,74.6,0.19,3
4335-UPJSI,24,19.75,0.01,0
0524-IAVZO,30,85.0,0.8,3
2737-YNGYW,2,80.55,0.97,3
1784-EZDKJ,51,106.8,0.1,1
9297-FVVDH,57,84.5,0.04,1
8007-YYPWD,15,25.05,0.04,0
7101-HRBLJ,72,83.7,0.0,1
5159-YFPKQ,2,75.8,0.9,3
6635-CPNUN,28,96.6,0.42,3
4021-RQSNY,29,98.5,0.91,3
5453-YBTWV,70,101.1,0.02,1
5039-LZRQT,13,20.2,0.0,0
2931-VUVJN,59,94.05,0.05,1
9061-TIHDA,13,95.25,0.85,3
8699-ASUFO,7,74.4,0.81,3
6418-PIQSP,62,81.0,0.0,1
8220-OCUFY,21,60.25,0.02,3
3995-WFCSM,2,60.85,0.62,3
1895-QTKDO,1,43.95,0.54,0
2038-OEQZH,4,86.05,0.5,3
1178-PZGAB,19,20.25,0.0,0
7927-AUXBZ,30,85.15,0.79,3
2626-VEEWG,67,19.4,0.0,2
2878-RMWXY,72,102.65,0.01,1
1657-DYMBM,53,19.9,0.03,2
7311-MQJCH,5,19.55,0.02,0
7375-WMVMT,71,95.5,0.06,1
1136-XGEQU,50,84.15,0.01,1
2530-FMFXO,56,103.2,0.16,1
6844-DZKRF,2,50.2,0.35,0
4695-WJZUE,2,88.55,0.99,3
7619-ODSGN,24,54.75,0.68,3
5970-GHJAW,46,19.95,0.0,2
8879-XUAHX,71,116.25,0.05,1
3689-MOZGR,29,31.2,0.4,0
4195-PNGZS,69,24.45,0.0,2
5003-XZWWO,71,84.2,0.01,1
3988-RQIXO,1,91.3,0.95,3
7622-FWGEW,56,85.65,0.0,1
6922-NCEDI,56,21.2,0.02,2
2514-GINMM,1,79.5,0.95,3
9891-NQDBD,28,25.55,0.0,0
6131-IUNXN,19,20.2,0.0,0
8548-AWOFC,66,63.85,0.07,1
9798-DRYDS,17,61.95,0.01,3
8532-UEFWH,52,25.75,0.0,2
6296-DDOOR,19,58.2,0.0,3
7951-VRDVK,36,85.85,0.24,3
5931-FLJJF,7,70.1,0.68,3
4815-YOSUK,72,104.9,0.05,1
2659-VXMWZ,67,111.3,0.23,1
0380-NEAVX,34,99.85,0.14,3
3207-OYBWH,57,95.25,0.66,1
4285-GYRQC,7,86.25,0.83,3
7216-EWTRS,1,100.8,0.95,3
4365-MSDYN,8,19.55,0.08,0
7036-TYDEC,69,104.0,0.05,1
5802-ADBRC,50,104.4,0.42,1
8076-FEZKJ,10,19.5,0.0,0
5197-YPYBZ,12,25.25,0.04,0
8337-MSSXB,14,86.3,0.72,3
4312-GVYNH,70,49.85,0.02,2
8495-LJDFO,64,108.95,0.05,1
0839-JTCUD,66,89.9,0.01,1
5494-WOZRZ,71,82.0,0.0,1
1302-UHBDD,20,89.95,0.23,3
2234-EOFPT,72,79.35,0.01,1
8619-IJNDK,71,64.05,0.0,1
8378-LKJAF,38,101.15,0.2,1
8182-BJDSI,28,89.95,0.88,3
2528-HFYZX,17,76.45,0.91,3
1153-GNOLC,33,39.1,0.11,2
3298-QEICA,23,34.6,0.0,0
0788-DXBFY,58,19.55,0.04,2
3597-YASZG,70,104.45,0.07,1
3496-LFSZU,4,70.5,0.22,3
5242-UOWHD,45,20.35,0.0,2
2482-CZGBB,10,70.0,0.35,3
6479-SZPLM,36,19.45,0.0,2
8097-VBQTZ,54,69.9,0.05,1
4500-HKANN,23,59.7,0.05,3
9917-KWRBE,41,78.35,0.01,3
3420-ZDBMA,5,71.45,0.29,3
2212-LYASK,27,45.85,0.04,0
1393-IMKZG,1,95.85,0.25,3
8069-RHUXK,67,35.7,0.01,2
3398-GCPMU,72,89.55,0.0,1
2908-WGAXL,56,24.95,0.01,2
3378-AJRAO,44,24.85,0.01,2
1013-QCWAM,66,100.8,0.12,1
0866-QLSIR,34,64.4,0.01,3
6050-FFXES,69,105.35,0.03,1
7181-BQYBV,1,102.45,0.94,3
0362-RAOQO,40,19.65,0.0,2
9554-DFKIC,30,54.45,0.03,3
5527-ACHSO,11,70.5,0.15,3
0829-DDVLK,15,20.1,0.0,0
1399-UBQIU,11,69.35,0.19,3
1813-JLKWR,64,19.8,0.06,2
0336-PIKEI,72,74.4,0.01,1
7322-OCWHC,72,93.05,0.0,1
9537-VHDTA,1,51.2,0.1,0
4957-TIALW,15,65.6,0.1,3
2054-PJOCK,60,80.55,0.06,1
9150-HEPMB,56,52.7,0.02,2
9030-QGZNL,8,20.85,0.0,0
6204-IEUXJ,3,80.1,0.77,3
3126-WQMGH,49,52.15,0.09,2
4529-CKBCL,2,80.2,0.96,3
2506-CLAKW,6,98.15,0.84,3
7176-WRTNX,70,114.95,0.06,1
1583-IHQZE,12,112.95,0.56,3
5732-IKGQH,52,104.45,0.21,1
9239-GZHZE,72,113.65,0.0,1
7205-BAIAD,40,20.6,0.0,2
0151-ONTOV,1,70.9,1.0,3
4140-MUHUG,3,86.85,0.92,3
0093-EXYQL,40,91.55,0.2,1
8064-RAVOH,1,49.85,0.25,0
0219-QAERP,30,19.8,0.0,0
0320-JDNQG,23,99.85,0.76,3
7180-PISOG,1,74.5,0.95,3
9168-INPSZ,44,104.15,0.17,1
3571-RFHAR,65,109.15,0.22,1
0015-UOCOJ,7,48.2,0.19,0
5334-AFQJB,72,25.1,0.01,2
2754-SDJRD,8,100.15,0.78,3
9578-VRMNM,16,65.2,0.15,3
1587-FKLZB,66,99.5,0.74,1
6140-QNRQQ,1,71.55,0.91,3
8963-JLGJT,3,55.9,0.07,0
4307-KTUMW,53,93.9,0.67,1
1465-LNTLJ,8,64.4,0.08,3
5440-FLBQG,69,108.4,0.72,1
2135-DQWAQ,5,85.3,0.42,3
4056-QHXHZ,72,107.45,0.0,1
7470-MCQTK,13,48.75,0.79,0
7488-MXJIV,4,85.65,0.96,3
7401-JIXNM,54,91.3,0.01,1
9339-FIIJL,72,85.95,0.0,1
2027-FECZV,12,106.7,0.96,3
2672-DZUOY,1,25.15,0.88,0
4706-DGAHW,1,45.2,0.77,0
3870-MQAMG,54,110.35,0.68,1
6670-MFRPK,69,79.2,0.01,1
6177-PEVRA,48,55.5,0.0,2
4800-CZMPC,48,103.25,0.73,1
4813-HQMGZ,8,90.25,0.25,3
7579-KKLOE,71,91.25,0.01,1
7377-DMMRI,2,47.8,0.59,0
8402-EIVQS,67,100.9,0.11,1
4947-DSMXK,34,97.7,0.14,3
7245-NIIWQ,3,69.85,0.07,3
0002-ORFBO,9,65.6,0.06,3
3324-OIRTO,71,104.65,0.08,1
5414-OFQCB,57,90.45,0.08,1
4967-WPNCF,72,63.7,0.0,1
8552-OBVRU,48,104.5,0.25,1
8499-BRXTD,18,20.1,0.0,0
9154-QDGTH,43,104.3,0.05,1
8197-BFWVU,72,93.25,0.0,1
2577-GVSIL,35,73.45,0.02,3
9367-OIUXP,4,20.7,0.05,0
6770-UAYGJ,49,25.25,0.0,2
6463-HHXJR,71,100.5,0.05,1
7928-VJYAB,11,90.6,0.2,3
1187-WILMM,63,89.4,0.0,1
9776-OJUZI,65,95.45,0.27,1
1306-RPWXZ,49,20.45,0.0,2
8949-JTMAY,29,98.6,0.41,3
2774-LVQUS,15,83.05,0.78,3
3097-PYWXL,4,19.95,0.15,0
2266-SJNAT,72,109.15,0.04,1
0869-PAPRP,26,85.7,0.08,3
4238-JSSWH,35,102.05,0.21,1
2972-YDYUW,57,94.7,0.09,1
1104-FEJAM,28,64.4,0.12,3
2809-ILCYT,25,26.8,0.01,0
5499-ECUTN,47,66.05,0.04,2
4981-FLTMF,57,65.2,0.04,1
9121-PHQSR,16,85.05,0.2,3
3113-IWHLC,5,55.8,0.14,0
3211-ILJTT,17,70.4,0.89,3
4612-THJBS,56,104.75,0.76,1
4277-BWBML,72,19.95,0.0,2
4094-NSEDU,21,94.25,0.83,3
0234-TEVTT,48,45.0,0.06,2
4304-TSPVK,68,114.9,0.03,1
1552-AAGRX,30,106.4,0.22,3
2637-FKFSY,3,46.1,0.13,0
9796-MVYXX,14,39.7,0.03,0
7874-ECPQJ,4,20.05,0.03,0
0020-INWCK,71,95.75,0.02,1
7089-RKVSZ,8,24.4,0.01,0
2683-JXWQQ,61,33.6,0.05,2
9548-ZMVTX,72,90.45,0.08,1
8739-XNIKG,5,84.0,0.86,3
9755-JHNMN,49,67.4,0.03,2
3981-QSVQI,8,19.7,0.05,0
2789-HQBOU,3,80.35,0.31,3
9424-CMPOG,9,19.6,0.0,0
5067-WJEUN,67,54.2,0.03,2
3450-WXOAT,46,45.2,0.05,2
9251-WNSOD,67,75.1,0.02,1
6974-DAFLI,55,19.7,0.0,2
2616-UUTFK,33,72.75,0.08,3
7064-JHXCE,62,20.05,0.0,2
5103-MHMHY,1,45.95,0.9,0
7989-AWGEH,49,39.2,0.08,2
4373-VVHQL,1,44.75,0.28,0
4559-UWIHT,14,82.65,0.31,3
7268-IGMFD,18,93.9,0.1,3
1846-XWOQN,1,70.15,0.82,3
0235-KGSLC,1,85.55,0.96,3
6650-BWFRT,72,117.15,0.0,1
9570-KYEUA,64,99.25,0.05,1
6993-YGFJV,69,112.55,0.07,1
2712-SYWAY,1,25.7,0.07,0
0730-BGQGF,71,90.3,0.0,1
5498-IBWPI,66,49.4,0.0,2
9101-NTIXF,2,19.4,0.05,0
0013-SMEOE,71,109.7,0.0,1
9314-QDMDW,11,61.25,0.12,3
9308-ANMVE,47,55.3,0.09,2
2884-GBPFB,35,70.3,0.77,3
3757-NJYBX,32,106.35,0.8,3
3413-DHLPB,60,103.75,0.15,1
7649-PHJVR,11,19.5,0.0,0
6114-TCFID,29,39.5,0.02,0
3787-TRIAL,21,26.05,0.05,0
2573-GYRUU,48,91.05,0.17,1
5156-UMKOW,3,29.65,0.11,0
1247-QBVSH,43,50.2,0.01,2
6734-GMPVK,5,105.3,0.12,3
9822-OAOVB,1,55.45,0.32,0
6161-ERDGD,71,85.45,0.05,1
1226-JZNKR,8,19.8,0.05,0
7318-EIVKO,8,59.25,0.14,3
3771-PZOBW,20,90.7,0.14,3
5136-KCKGI,33,103.7,0.74,3
8231-BSWXX,71,79.05,0.07,1
6486-LHTMA,31,90.7,0.07,3
4083-BFNYK,38,95.0,0.12,1
3722-WPXTK,1,88.35,0.94,3
7389-KBFIT,2,30.25,0.09,0
7176-WIONM,12,49.85,0.32,0
5141-ZUVBH,9,93.0,0.2,3
1089-HDMKP,11,54.55,0.05,0
7623-HKYRK,6,19.7,0.0,0
0310-SUCIN,71,84.8,0.08,1
5197-PYEPU,42,94.45,0.07,1
2929-ERCFZ,8,94.2,0.81,3
7548-SEPYI,5,96.25,0.92,3
8835-VSDSE,2,70.7,0.41,3
6619-RPLQZ,45,20.85,0.0,2
3275-RHRNE,28,60.0,0.09,3
3503-TYDAY,43,80.45,0.38,1
6901-GOGZG,60,84.95,0.04,1
1623-NLDOT,42,33.55,0.07,2
7021-XSNYE,7,49.65,0.02,0
9621-OUPYD,25,20.2,0.0,0
9898-KZQDZ,40,94.55,0.74,1
8982-NHAVY,27,100.5,0.11,3
4307-KWMXE,10,35.75,0.07,0
0141-YEAYS,27,86.45,0.69,3
2450-ZKEED,11,53.8,0.04,0
3694-DELSO,4,38.55,0.33,0
3893-JRNFS,68,39.9,0.14,2
9603-OAIHC,1,70.05,0.3821428571428572,3
1133-KXCGE,18,20.1,0.0,0
